,0
temperatura,0.026841611410640547
umidade,0.07288893386771009
ponto_orvalho,0.03418394150809343
pressao,0.02811469219541131
vento_m_s,0.016707990516956917
vento_dir,0.055642159437901656
rajadas,0.021544560010713087
chuva_mm,0.10222425681793773
rad_solar,0.02489120236765339
rad_direta,0.046179944972378234
solo_temp_0cm,0.014854909351265206
solo_umid_0_1cm,0.09710266178940496
evapotranspiracao,0.03724184188127552
pm10,0.08723720279790845
pm25,0.06484545715059169
o3,0.1097913229710606
no2,0.030770517548527956
so2,0.07914012116622526
co,0.027957350436705143
uv,0.021839321801638903
